date,sold
2010-01-01,802
2010-01-02,804
2010-01-03,791
2010-01-04,799
2010-01-05,812
2010-01-06,822
2010-01-07,806
2010-01-08,796
2010-01-09,791
2010-01-10,803
2010-01-11,804
2010-01-12,808
2010-01-13,794
2010-01-14,785
2010-01-15,807
2010-01-16,790
2010-01-17,806
2010-01-18,800
2010-01-19,801
2010-01-20,811
2010-01-21,792
2010-01-22,790
2010-01-23,792
2010-01-24,788
2010-01-25,782
2010-01-26,788
2010-01-27,810
2010-01-28,794
2010-01-29,761
2010-01-30,794
2010-01-31,768
2010-02-01,794
2010-02-02,809
2010-02-03,783
2010-02-04,795
2010-02-05,778
2010-02-06,796
2010-02-07,782
2010-02-08,786
2010-02-09,773
2010-02-10,783
2010-02-11,778
2010-02-12,772
2010-02-13,783
2010-02-14,778
2010-02-15,795
2010-02-16,786
2010-02-17,787
2010-02-18,773
2010-02-19,772
2010-02-20,775
2010-02-21,781
2010-02-22,782
2010-02-23,790
2010-02-24,780
2010-02-25,774
2010-02-26,769
2010-02-27,752
2010-02-28,767
2010-03-01,773
2010-03-02,797
2010-03-03,777
2010-03-04,766
2010-03-05,790
2010-03-06,759
2010-03-07,777
2010-03-08,781
2010-03-09,761
2010-03-10,797
2010-03-11,778
2010-03-12,776
2010-03-13,763
2010-03-14,764
2010-03-15,786
2010-03-16,783
2010-03-17,790
2010-03-18,799
2010-03-19,783
2010-03-20,788
2010-03-21,770
2010-03-22,758
2010-03-23,757
2010-03-24,781
2010-03-25,761
2010-03-26,760
2010-03-27,752
2010-03-28,769
2010-03-29,764
2010-03-30,790
2010-03-31,779
2010-04-01,768
2010-04-02,765
2010-04-03,770
2010-04-04,769
2010-04-05,766
2010-04-06,782
2010-04-07,793
2010-04-08,779
2010-04-09,757
2010-04-10,764
2010-04-11,760
2010-04-12,752
2010-04-13,781
2010-04-14,778
2010-04-15,764
2010-04-16,790
2010-04-17,756
2010-04-18,752
2010-04-19,775
2010-04-20,790
2010-04-21,792
2010-04-22,796
2010-04-23,774
2010-04-24,766
2010-04-25,761
2010-04-26,790
2010-04-27,787
2010-04-28,788
2010-04-29,790
2010-04-30,762
2010-05-01,750
2010-05-02,778
2010-05-03,786
2010-05-04,768
2010-05-05,791
2010-05-06,778
2010-05-07,779
2010-05-08,780
2010-05-09,778
2010-05-10,780
2010-05-11,786
2010-05-12,785
2010-05-13,797
2010-05-14,782
2010-05-15,802
2010-05-16,809
2010-05-17,788
2010-05-18,800
2010-05-19,812
2010-05-20,792
2010-05-21,784
2010-05-22,787
